# Created 3 Jul 2023 17:18:21 from Pseudomonas_aeruginosa_PAO1.xml
# Exclude:  EX/DM  EX reversals  non-reversible reactions
# Costs: ( gpa 1 no_gpa 5 ) + ( no_rev 0 rev 1 bad_rev 5 )
MET M_4haqnlno_c	"4-Hydroxyaminoquinoline N-oxide"
MET M_4hba_c	"4-Hydroxy-benzyl alcohol"
MET M_4hbz_c	"4-hydroxybenzoate"
MET M_4hmsaclt_c	"4-Hydroxymethylsalicylate"
MET M_4hoxpacd_c	"(4-hydroxyphenyl)acetaldehyde"
MET M_4hphac_c	"4-hydroxyphenylacetate"
MET M_4hphac_e	"4-hydroxyphenylacetate"
MET M_4hphac_p	"4-hydroxyphenylacetate"
MET M_4hpro_D_c	"cis-4-Hydroxy-D-proline"
MET M_4hpro_LT_c	"trans-4-hydroxy-L-proline"
MET M_4hthdp_c	"4-hydroxy-tetrahydrodipicolinate"
MET M_4hthr_c	"4-Hydroxy-L-threonine"
MET M_4izp_c	"4-Imidazolone-5-propanoate"
MET M_4m3hhexACP_c	"4-methyl-3-hydroxy-hexanoyl-ACP"
MET M_4m3hpentACP_c	"4-methyl-3-hydroxy-pentanoyl-ACP"
MET M_4m3ohexACP_c	"4-methyl-3-oxo-hexanoyl-ACP"
MET M_4m3opentACP_c	"4-methyl-3-oxo-pentanoyl-ACP"
MET M_4mcat_c	"4-Methylcatechol"
MET M_4mhexACP_c	"4-methyl-hexanoyl-ACP"
MET M_4mlacac_c	"4-maleylacetoacetate"
MET M_4mmlctn_c	"4-Methylmuconolactone"
MET M_4mop_c	"4-methyl-2-oxopentanoate"
